fact,year,date,source
"1887: Argonia, Kansas elects Susanna M. Salter as the first female mayor in the United States.",1887,4/4,wikipedia/muffinlabs
1933: U.S. Navy airship USS Akron is wrecked off the New Jersey coast due to severe weather.,1933,4/4,wikipedia/muffinlabs
"1944: World War II: First bombardment of oil refineries in Bucharest by Anglo-American forces kills 3,000 civilians.",1944,4/4,wikipedia/muffinlabs
1945: World War II: United States Army troops liberate Ohrdruf forced labor camp in Germany.,1945,4/4,wikipedia/muffinlabs
1945: World War II: United States Army troops capture Kassel.,1945,4/4,wikipedia/muffinlabs
1946: Greek judge and archeologist Panagiotis Poulitsas is appointed Prime Minister of Greece in the midst of the Greek Civil War.,1946,4/4,wikipedia/muffinlabs
1949: Cold War: Twelve nations sign the North Atlantic Treaty creating the North Atlantic Treaty Organization.,1949,4/4,wikipedia/muffinlabs
"1960: France agrees to grant independence to the Mali Federation, a union of Senegal and French Sudan.",1960,4/4,wikipedia/muffinlabs
"1967: Martin Luther King Jr. delivers his ""Beyond Vietnam: A Time to Break Silence"" speech in New York City's Riverside Church.",1967,4/4,wikipedia/muffinlabs
"1968: Martin Luther King Jr. is assassinated by James Earl Ray at a motel in Memphis, Tennessee.",1968,4/4,wikipedia/muffinlabs
1968: Apollo program: NASA launches Apollo 6.,1968,4/4,wikipedia/muffinlabs
1973: The Twin Towers of the World Trade Center in New York City are officially dedicated.,1973,4/4,wikipedia/muffinlabs
"1975: Vietnam War: A United States Air Force Lockheed C-5A Galaxy transporting orphans, crashes near Saigon, South Vietnam shortly after takeoff, killing 172 people.",1975,4/4,wikipedia/muffinlabs
"1977: Southern Airways Flight 242 crashes in New Hope, Paulding County, Georgia, killing 72.",1977,4/4,wikipedia/muffinlabs
1984: President Ronald Reagan calls for an international ban on chemical weapons.,1984,4/4,wikipedia/muffinlabs
1990: The current flag of Hong Kong is adopted for post-colonial Hong Kong during the Third Session of the Seventh National People's Congress.,1990,4/4,wikipedia/muffinlabs
"1991: Forty-one people are taken hostage inside a Good Guys! Electronics store in Sacramento, California. Three of the hostage takers and three hostages are killed.",1991,4/4,wikipedia/muffinlabs
2002: The MPLA government of Angola and UNITA rebels sign a peace treaty ending the Angolan Civil War.,2002,4/4,wikipedia/muffinlabs
"2011: Georgian Airways Flight 834 crashes at N'djili Airport in Kinshasa, killing 32.",2011,4/4,wikipedia/muffinlabs
"2025: The impeachment of President Yoon Suk Yeol of South Korea in response to his declaration of martial law is unanimously upheld by the country's Constitutional Court, ending his presidency.",2025,4/4,wikipedia/muffinlabs
"1614: In Virginia, Native American Pocahontas marries English colonist John Rolfe.",1614,4/5,wikipedia/muffinlabs
"1621: The Mayflower sets sail from Plymouth, Massachusetts on a return trip to England.",1621,4/5,wikipedia/muffinlabs
"1792: United States President George Washington exercises his authority to veto a bill, the first time this power is used in the United States.",1792,4/5,wikipedia/muffinlabs
"1818: In the Battle of Maipú, Chile's independence movement, led by Bernardo O'Higgins and José de San Martín, win a decisive victory over Spain, leaving 2,000 Spaniards and 1,000 Chilean patriots dead.",1818,4/5,wikipedia/muffinlabs
1862: American Civil War: The Battle of Yorktown begins.,1862,4/5,wikipedia/muffinlabs
1910: The Transandine Railway connecting Chile and Argentina is inaugurated.,1910,4/5,wikipedia/muffinlabs
"1922: The American Birth Control League, forerunner of Planned Parenthood, is incorporated.",1922,4/5,wikipedia/muffinlabs
1932: Dominion of Newfoundland: Ten thousand rioters seize the Colonial Building leading to the end of self-government.,1932,4/5,wikipedia/muffinlabs
"1933: U.S. President Franklin D. Roosevelt signs two executive orders: 6101 to establish the Civilian Conservation Corps, and 6102 ""forbidding the Hoarding of Gold Coin, Gold Bullion, and Gold Certificates"" by U.S. citizens.",1933,4/5,wikipedia/muffinlabs
1933: Andorran Revolution: The Young Andorrans occupy the Casa de la Vall and force the government to hold democratic elections with universal male suffrage.,1933,4/5,wikipedia/muffinlabs
"1936: Tupelo-Gainesville tornado outbreak: An F5 tornado kills 233 in Tupelo, Mississippi.",1936,4/5,wikipedia/muffinlabs
"1938: Spanish Civil War: Two days after the Nationalist army occupied the Catalan city of Lleida, dictator Francisco Franco decrees the abolition of the Generalitat (the autonomous government of Catalonia), the self-government granted by the Republic, and the official status of the Catalan language.",1938,4/5,wikipedia/muffinlabs
"1942: World War II: The Imperial Japanese Navy launches a carrier-based air attack on Colombo, Ceylon during the Indian Ocean raid. Port and civilian facilities are damaged and the Royal Navy cruisers HMS Cornwall and HMS Dorsetshire are sunk southwest of the island.",1942,4/5,wikipedia/muffinlabs
"1943: World War II: United States Army Air Forces bomber aircraft accidentally cause more than 900 civilian deaths, including 209 children, and 1,300 wounded among the civilian population of the Belgian town of Mortsel. Their target was the Erla factory 1 kilometre (0.62 mi) from the residential area hit.",1943,4/5,wikipedia/muffinlabs
"1945: Cold War: Yugoslav leader Josip Broz Tito signs an agreement with the Soviet Union to allow ""temporary entry of Soviet troops into Yugoslav territory"".",1945,4/5,wikipedia/muffinlabs
"1949: A fire in a hospital in Effingham, Illinois, kills 77 people and leads to nationwide fire code improvements in the United States.",1949,4/5,wikipedia/muffinlabs
1951: Cold War: Ethel and Julius Rosenberg are sentenced to death for spying for the Soviet Union.,1951,4/5,wikipedia/muffinlabs
1956: Cuban Revolution: Fidel Castro declares himself at war with Cuban President Fulgencio Batista.,1956,4/5,wikipedia/muffinlabs
"1966: During the Buddhist Uprising, South Vietnamese Prime Minister Nguyễn Cao Kỳ personally attempts to lead the capture of the restive city of Đà Nẵng before backing down.",1966,4/5,wikipedia/muffinlabs
"1974: Carrie, the first novel by American author Stephen King, is published for the first time with a print run of 30,000 copies.",1974,4/5,wikipedia/muffinlabs
1977: The US Supreme Court rules that congressional legislation that diminished the size of the Sioux people's reservation thereby destroyed the tribe's jurisdictional authority over the area in Rosebud Sioux Tribe v. Kneip.,1977,4/5,wikipedia/muffinlabs
"1991: An ASA EMB 120 crashes in Brunswick, Georgia, killing all 23 aboard including Sen. John Tower and astronaut Sonny Carter.",1991,4/5,wikipedia/muffinlabs
"1992: Alberto Fujimori, president of Peru, dissolves the Peruvian congress by military force.",1992,4/5,wikipedia/muffinlabs
2010: Up to 50 people are killed and another 100 injured in two militant suicide bombings and attacks in Khyber Pakhtunkhwa province of Pakistan: the first on an Awami National Party rally in Timergara; the second on the U.S. Consulate in Peshawar.,2010,4/5,wikipedia/muffinlabs
2010: Twenty-nine coal miners are killed in an explosion at the Upper Big Branch Mine in West Virginia.,2010,4/5,wikipedia/muffinlabs
"2018: Agents with the U.S. Immigration and Customs Enforcement raid a slaughterhouse in Tennessee, detaining nearly 100 undocumented Hispanic workers in one of the largest workplace raids in the history of the United States.",2018,4/5,wikipedia/muffinlabs
1320: The Scots reaffirm their independence by signing the Declaration of Arbroath.,1320,4/6,wikipedia/muffinlabs
1712: The New York Slave Revolt of 1712 begins near Broadway.,1712,4/6,wikipedia/muffinlabs
1776: American Revolutionary War: Ships of the Continental Navy fail in their attempt to capture a Royal Navy dispatch boat.,1776,4/6,wikipedia/muffinlabs
"1808: John Jacob Astor incorporates the American Fur Company, that would eventually make him America's first millionaire.",1808,4/6,wikipedia/muffinlabs
"1830: Church of Christ, the original church of the Latter Day Saint movement, is organized by Joseph Smith and others at either Fayette or Manchester, New York.",1830,4/6,wikipedia/muffinlabs
"1841: U.S. President John Tyler is sworn in, two days after having become president upon William Henry Harrison's death.",1841,4/6,wikipedia/muffinlabs
"1860: The Reorganized Church of Jesus Christ of Latter Day Saints, later renamed Community of Christ, is organized by Joseph Smith III and others at Amboy, Illinois.",1860,4/6,wikipedia/muffinlabs
"1862: American Civil War: The Battle of Shiloh begins: In Tennessee, forces under Union General Ulysses S. Grant meet Confederate troops led by General Albert Sidney Johnston.",1862,4/6,wikipedia/muffinlabs
"1865: American Civil War: The Battle of Sailor's Creek: Confederate General Robert E. Lee's Army of Northern Virginia fights and loses its last major battle while in retreat from Richmond, Virginia, during the Appomattox Campaign.",1865,4/6,wikipedia/muffinlabs
"1866: The Grand Army of the Republic, an American patriotic organization composed of Union veterans of the American Civil War, is founded. It lasts until 1956.",1866,4/6,wikipedia/muffinlabs
1917: World War I: The United States declares war on Germany.,1917,4/6,wikipedia/muffinlabs
1918: Finnish Civil War: The battle of Tampere ends.,1918,4/6,wikipedia/muffinlabs
"1929: Huey P. Long, Governor of Louisiana, is impeached by the Louisiana House of Representatives.",1929,4/6,wikipedia/muffinlabs
"1936: Tupelo-Gainesville tornado outbreak: Another tornado from the same storm system as the Tupelo tornado hits Gainesville, Georgia, killing 203.",1936,4/6,wikipedia/muffinlabs
"1958: Capital Airlines Flight 67 crashes in Tittabawassee Township, Michigan, near Freeland Tri-City Airport, killing 47.",1958,4/6,wikipedia/muffinlabs
"1968: In the downtown district of Richmond, Indiana, a double explosion kills 41 and injures 150.",1968,4/6,wikipedia/muffinlabs
1970: Newhall massacre: Four California Highway Patrol officers are killed in a shootout.,1970,4/6,wikipedia/muffinlabs
1972: Vietnam War: Easter Offensive: American forces begin sustained air strikes and naval bombardments.,1972,4/6,wikipedia/muffinlabs
1973: The American League of Major League Baseball begins using the designated hitter.,1973,4/6,wikipedia/muffinlabs
"1974: The first California Jam festival takes place at the Ontario Motor Speedway in Ontario, California. Co-headlined by Deep Purple and Emerson, Lake & Palmer. The festival set what were then records for the loudest amplification system ever installed, the highest paid attendance, and highest gross in history.",1974,4/6,wikipedia/muffinlabs
1984: Members of Cameroon's Republican Guard unsuccessfully attempt to overthrow the government headed by Paul Biya.,1984,4/6,wikipedia/muffinlabs
1985: Sudanese President Gaafar Nimeiry is ousted from power in a coup d'état led by Field Marshal Abdel Rahman Swar al-Dahab.,1985,4/6,wikipedia/muffinlabs
1994: The Rwandan genocide begins when the aircraft carrying Rwandan president Juvénal Habyarimana and Burundian president Cyprien Ntaryamira is shot down.,1994,4/6,wikipedia/muffinlabs
2004: Rolandas Paksas becomes the first president of Lithuania to be peacefully removed from office by impeachment.,2004,4/6,wikipedia/muffinlabs
2005: Kurdish leader Jalal Talabani becomes Iraqi president; Shiite Arab Ibrahim al-Jaafari is named premier the next day.,2005,4/6,wikipedia/muffinlabs
"2017: U.S. military launches 59 Tomahawk cruise missiles at an air base in Syria. Russia describes the strikes as an ""aggression"", adding they significantly damage US-Russia ties.",2017,4/6,wikipedia/muffinlabs
"1788: Settlers establish Marietta, Ohio, the first permanent settlement created by U.S. citizens in the recently organized Northwest Territory.",1788,4/7,wikipedia/muffinlabs
1798: The Mississippi Territory is organized from disputed territory claimed by both the United States and the Spanish Empire. It is expanded in 1804 and again in 1812.,1798,4/7,wikipedia/muffinlabs
1805: Lewis and Clark Expedition: The Corps of Discovery breaks camp among the Mandan tribe and resumes its journey West along the Missouri River.,1805,4/7,wikipedia/muffinlabs
"1862: American Civil War: The Union's Army of the Tennessee and the Army of the Ohio defeat the Confederate Army of Mississippi near Shiloh, Tennessee.",1862,4/7,wikipedia/muffinlabs
1922: Teapot Dome scandal: United States Secretary of the Interior Albert B. Fall leases federal petroleum reserves to private oil companies on excessively generous terms.,1922,4/7,wikipedia/muffinlabs
"1927: AT&T engineer Herbert Ives transmits the first long-distance public television broadcast (from Washington, D.C., to New York City, displaying the image of Commerce Secretary Herbert Hoover).",1927,4/7,wikipedia/muffinlabs
"1933: Prohibition in the United States is repealed for beer of no more than 3.2% alcohol by weight, eight months before the ratification of the Twenty-first Amendment to the United States Constitution. (Now  celebrated as National Beer Day in the United States.)",1933,4/7,wikipedia/muffinlabs
1940: Booker T. Washington becomes the first African American to be depicted on a United States postage stamp.,1940,4/7,wikipedia/muffinlabs
"1945: World War II: The Imperial Japanese Navy battleship Yamato, one of the two largest ever constructed, is sunk by United States Navy aircraft during Operation Ten-Go.",1945,4/7,wikipedia/muffinlabs
"1954: United States President Dwight D. Eisenhower gives his ""domino theory"" speech during a news conference.",1954,4/7,wikipedia/muffinlabs
"1965: Representatives of the National Congress of American Indians testify before members of the US Senate in Washington, D.C., against the termination of the Colville tribe.",1965,4/7,wikipedia/muffinlabs
1971: Vietnam War: President Richard Nixon announces his decision to quicken the pace of Vietnamization.,1971,4/7,wikipedia/muffinlabs
1972: Vietnam War: Communist forces overrun the South Vietnamese town of Loc Ninh.,1972,4/7,wikipedia/muffinlabs
1978: Development of the neutron bomb is canceled by President Jimmy Carter.,1978,4/7,wikipedia/muffinlabs
"1980: During the Iran hostage crisis, the United States severs relations with Iran.",1980,4/7,wikipedia/muffinlabs
2001: NASA launches the 2001 Mars Odyssey orbiter.,2001,4/7,wikipedia/muffinlabs
2003: Iraq War: U.S. troops capture Baghdad; Saddam Hussein's Ba'athist regime falls two days later.,2003,4/7,wikipedia/muffinlabs
2003: Haitian president Jean-Bertrand Aristide demands reparations of $21 billion from France for the Haiti Independence Debt.,2003,4/7,wikipedia/muffinlabs
2009: Former Peruvian President Alberto Fujimori is sentenced to 25 years in prison for ordering killings and kidnappings by security forces.,2009,4/7,wikipedia/muffinlabs
2017: U.S. President Donald Trump orders the 2017 Shayrat missile strike against Syria in retaliation for the Khan Shaykhun chemical attack.,2017,4/7,wikipedia/muffinlabs
"2018: Former Brazilian president, Luiz Inácio Lula da Silva, is arrested for corruption by determination of Judge Sérgio Moro, from the ""Car-Wash Operation"". Lula stayed imprisoned for 580 days, after being released by the Brazilian Supreme Court.",2018,4/7,wikipedia/muffinlabs
2018: Syria launches the Douma chemical attack during the Eastern Ghouta offensive of the Syrian Civil War.,2018,4/7,wikipedia/muffinlabs
2020: COVID-19 pandemic: Acting Secretary of the Navy Thomas Modly resigns for his handling of the COVID-19 pandemic on USS Theodore Roosevelt and the dismissal of Brett Crozier.,2020,4/7,wikipedia/muffinlabs
2021: COVID-19 pandemic: The Centers for Disease Control and Prevention announces that the SARS-CoV-2 Alpha variant has become the dominant strain of COVID-19 in the United States.,2021,4/7,wikipedia/muffinlabs
"2022: Ketanji Brown Jackson is confirmed for the Supreme Court of the United States, becoming the first black female justice.",2022,4/7,wikipedia/muffinlabs
"1730: Shearith Israel, the first synagogue in continental North America, is dedicated.",1730,4/8,wikipedia/muffinlabs
"1832: Black Hawk War: Around 300 United States 6th Infantry troops leave St. Louis, Missouri to fight the Sauk Native Americans.",1832,4/8,wikipedia/muffinlabs
1895: In Pollock v. Farmers' Loan & Trust Co. the Supreme Court of the United States declares unapportioned income tax to be unconstitutional.,1895,4/8,wikipedia/muffinlabs
"1940: The Central Committee of the Mongolian People's Revolutionary Party elects Yumjaagiin Tsedenbal as General Secretary, marking the beginning of his 44-year-long tenure as de facto leader of Mongolia.",1940,4/8,wikipedia/muffinlabs
1959: The Organization of American States drafts an agreement to create the Inter-American Development Bank.,1959,4/8,wikipedia/muffinlabs
"2005: A solar eclipse occurs, visible over areas of the Pacific Ocean and Latin American countries such as Costa Rica, Panama, Colombia and Venezuela.",2005,4/8,wikipedia/muffinlabs
2010: U.S. President Barack Obama and Russian President Dmitry Medvedev sign the New START Treaty.,2010,4/8,wikipedia/muffinlabs
"2020: Bernie Sanders ends his presidential campaign, leaving Joe Biden as the Democratic Party's nominee.",2020,4/8,wikipedia/muffinlabs
"2024: Solar eclipse of April 8, 2024: A total solar eclipse takes place at the Moon's ascending node, visible across North America.",2024,4/8,wikipedia/muffinlabs
1288: Mongol invasions of Vietnam: Yuan forces are defeated by Trần forces in the Battle of Bach Dang in present-day northern Vietnam.,1288,4/9,wikipedia/muffinlabs
"1682: Robert Cavelier de La Salle discovers the mouth of the Mississippi River, claims it for France and names it Louisiana.",1682,4/9,wikipedia/muffinlabs
"1784: The Treaty of Paris, ratified by the United States Congress on January 14, 1784, is ratified by King George III of the Kingdom of Great Britain, ending the American Revolutionary War. Copies of the ratified documents are exchanged on May 12, 1784.",1784,4/9,wikipedia/muffinlabs
"1865: American Civil War: Robert E. Lee surrenders the Army of Northern Virginia (26,765 troops) to Ulysses S. Grant at Appomattox Court House, Virginia, effectively ending the war.",1865,4/9,wikipedia/muffinlabs
1909: The U.S. Congress passes the Payne-Aldrich Tariff Act.,1909,4/9,wikipedia/muffinlabs
1939: African-American singer Marian Anderson gives a concert at the Lincoln Memorial after being denied the use of Constitution Hall by the Daughters of the American Revolution.,1939,4/9,wikipedia/muffinlabs
1942: World War II: An Indian Ocean raid by Japan's 1st Air Fleet sinks the British aircraft carrier HMS Hermes and the Australian destroyer HMAS Vampire.,1942,4/9,wikipedia/muffinlabs
1945: The United States Atomic Energy Commission is formed.,1945,4/9,wikipedia/muffinlabs
"1947: The Glazier-Higgins-Woodward tornadoes kill 181 and injure 970 in Texas, Oklahoma, and Kansas.",1947,4/9,wikipedia/muffinlabs
"1947: The Journey of Reconciliation, the first interracial Freedom Ride begins through the upper South in violation of Jim Crow laws. The riders wanted enforcement of the United States Supreme Court's 1946 Irene Morgan decision that banned racial segregation in interstate travel.",1947,4/9,wikipedia/muffinlabs
"1959: Project Mercury: NASA announces the selection of the United States' first seven astronauts, whom the news media quickly dub the ""Mercury Seven"".",1959,4/9,wikipedia/muffinlabs
1969: The first British-built Concorde 002 makes its maiden flight from Filton to RAF Fairford with Brian Trubshaw as the test pilot.,1969,4/9,wikipedia/muffinlabs
"1981: The U.S. Navy nuclear submarine USS George Washington accidentally collides with the Nissho Maru, a Japanese cargo ship, sinking it and killing two Japanese sailors.",1981,4/9,wikipedia/muffinlabs
"1989: Tbilisi massacre: An anti-Soviet peaceful demonstration and hunger strike in Tbilisi, demanding restoration of Georgian independence, is dispersed by the Soviet Army, resulting in 20 deaths and hundreds of injuries.",1989,4/9,wikipedia/muffinlabs
1991: Georgia declares independence from the Soviet Union.,1991,4/9,wikipedia/muffinlabs
1992: A U.S. Federal Court finds former Panamanian dictator Manuel Noriega guilty of drug and racketeering charges. He is sentenced to 30 years in prison.,1992,4/9,wikipedia/muffinlabs
2003: Iraq War: Baghdad falls to American forces.,2003,4/9,wikipedia/muffinlabs
"2009: In Tbilisi, Georgia, up to 60,000 people protest against the government of Mikheil Saakashvili.",2009,4/9,wikipedia/muffinlabs
1606: The Virginia Company of London is established by royal charter by James I of England with the purpose of establishing colonial settlements in North America.,1606,4/10,wikipedia/muffinlabs
"1717: Robert Walpole resigns from the British government, commencing the Whig Split which lasts until 1720.",1717,4/10,wikipedia/muffinlabs
1816: The Federal government of the United States approves the creation of the Second Bank of the United States.,1816,4/10,wikipedia/muffinlabs
1821: Greek War of Independence: the island of Psara joins the Greek struggle for independence.,1821,4/10,wikipedia/muffinlabs
"1865: American Civil War: A day after his surrender to Union forces, Confederate General Robert E. Lee addresses his troops for the last time.",1865,4/10,wikipedia/muffinlabs
1866: The American Society for the Prevention of Cruelty to Animals (ASPCA) is founded in New York City by Henry Bergh.,1866,4/10,wikipedia/muffinlabs
"1868: At Arogee in Abyssinia, British and Indian forces defeat an army of Emperor Tewodros II. While 700 Ethiopians are killed and many more injured, only two British/Indian troops die.",1868,4/10,wikipedia/muffinlabs
"1887: On Easter Sunday, Pope Leo XIII authorizes the establishment of the Catholic University of America.",1887,4/10,wikipedia/muffinlabs
"1919: The Third Regional Congress of Peasants, Workers and Insurgents is held by the Makhnovshchina at Huliaipole.",1919,4/10,wikipedia/muffinlabs
"1925: The Russian city of Tsaritsyn was renamed Stalingrad to honor the Soviet leader Joseph Stalin, Soviet Communist Party General Secretary, who had guided the defense of Tsaritsyn during the Russian Civil War in 1920.",1925,4/10,wikipedia/muffinlabs
1963: One hundred twenty-nine American sailors die when the submarine USS Thresher sinks at sea.,1963,4/10,wikipedia/muffinlabs
"1972: Vietnam War: For the first time since November 1967, American B-52 bombers reportedly begin bombing North Vietnam.",1972,4/10,wikipedia/muffinlabs
"1979: Red River Valley tornado outbreak: A tornado lands in Wichita Falls, Texas killing 42 people.",1979,4/10,wikipedia/muffinlabs
"2009: President of Fiji Ratu Josefa Iloilo announces the abrogation of the constitution and assumes all governance in the country, creating a constitutional crisis.",2009,4/10,wikipedia/muffinlabs
"2010: Polish Air Force Tu-154M crashes near Smolensk, Russia, killing 96 people, including Polish President Lech Kaczyński, his wife, and dozens of other senior officials and dignitaries.",2010,4/10,wikipedia/muffinlabs
"1881: Spelman College is founded in Atlanta, Georgia as the Atlanta Baptist Female Seminary, an institute of higher education for African-American women.",1881,4/11,wikipedia/muffinlabs
1945: World War II: American forces liberate the Buchenwald concentration camp.,1945,4/11,wikipedia/muffinlabs
1951: Korean War: President Truman relieves Douglas MacArthur of the command of American forces in Korea and Japan.,1951,4/11,wikipedia/muffinlabs
1964: Brazilian Marshal Humberto de Alencar Castelo Branco is elected president by the National Congress.,1964,4/11,wikipedia/muffinlabs
"1965: The Palm Sunday tornado outbreak of 1965: Fifty-five tornadoes hit in six Midwestern states of the United States, killing 266 people.",1965,4/11,wikipedia/muffinlabs
"1968: US President Lyndon B. Johnson signs the Civil Rights Act of 1968, prohibiting discrimination in the sale, rental, and financing of housing.",1968,4/11,wikipedia/muffinlabs
1970: Apollo Program: Apollo 13 is launched.,1970,4/11,wikipedia/muffinlabs
"1982: American-Israeli reservist Alan Harry Goodman carried out a mass shooting at the Dome of the Rock, killing two Palestinians and injured at least seven others.",1982,4/11,wikipedia/muffinlabs
"1986: FBI Miami Shootout: A gun battle in broad daylight in Dade County, Florida between two bank/armored car robbers and pursuing FBI agents. During the firefight, FBI agents Jerry L. Dove and Benjamin P. Grogan were killed, while five other agents were wounded. As a result, the popular .40 S&W cartridge was developed.",1986,4/11,wikipedia/muffinlabs
"1993: Four hundred fifty prisoners rioted at the Southern Ohio Correctional Facility in Lucasville, Ohio, and continued to do so for ten days, citing grievances related to prison conditions, as well as the forced vaccination of Nation of Islam prisoners (for tuberculosis) against their religious beliefs.",1993,4/11,wikipedia/muffinlabs
"2001: The detained crew of a United States EP-3E aircraft that landed in Hainan, China after a collision with a J-8 fighter, is released.",2001,4/11,wikipedia/muffinlabs
"2001: The Australia national men's soccer team sets a world record for the largest victory in an international association football match, winning the game 31-0 against American Samoa at the 2002 FIFA World Cup qualifiers for OFC. Australia's Archie Thompson also breaks the record for most goals scored by a player in an international match by scoring 13 goals.",2001,4/11,wikipedia/muffinlabs
2002: Over two hundred thousand people march in Caracas towards the presidential palace to demand the resignation of President Hugo Chávez. Nineteen protesters are killed.,2002,4/11,wikipedia/muffinlabs
2006: Iranian president Mahmoud Ahmadinejad announces Iran's claim to have successfully enriched uranium.,2006,4/11,wikipedia/muffinlabs
"1776: American Revolution: With the Halifax Resolves, the North Carolina Provincial Congress authorizes its Congressional delegation to vote for independence from Britain.",1776,4/12,wikipedia/muffinlabs
1782: American Revolution: A Royal Navy fleet led by Admiral George Rodney defeats a French fleet led by the Comte de Grasse at the Battle of the Saintes off Dominica in the Caribbean Sea.,1782,4/12,wikipedia/muffinlabs
"1861: American Civil War: Battle of Fort Sumter. The war begins with Confederate forces firing on Fort Sumter, in the harbor of Charleston, South Carolina.",1861,4/12,wikipedia/muffinlabs
"1862: American Civil War: The Andrews Raid (the Great Locomotive Chase) occurs, starting from Big Shanty, Georgia (now Kennesaw).",1862,4/12,wikipedia/muffinlabs
"1864: American Civil War: The Battle of Fort Pillow: Confederate forces kill most of the African American soldiers that surrendered at Fort Pillow, Tennessee.",1864,4/12,wikipedia/muffinlabs
"1865: American Civil War: Mobile, Alabama, falls to the Union Army.",1865,4/12,wikipedia/muffinlabs
"1900: One day after its enactment by the Congress, President William McKinley signs the Foraker Act into law, giving Puerto Rico limited self-rule.",1900,4/12,wikipedia/muffinlabs
"1927: Rocksprings, Texas is hit by an F5 tornado that destroys 235 of the 247 buildings in the town, kills 72 townspeople, and injures 205; third deadliest tornado in Texas history.",1927,4/12,wikipedia/muffinlabs
"1934: The strongest surface wind gust in the world at the time of 231 mph, is measured on the summit of Mount Washington, New Hampshire. It has since been surpassed.",1934,4/12,wikipedia/muffinlabs
"1934: The U.S. Auto-Lite strike begins, culminating in a five-day melee between Ohio National Guard troops and 6,000 strikers and picketers.[citation needed]",1934,4/12,wikipedia/muffinlabs
1945: U.S. President Franklin D. Roosevelt dies in office; Vice President Harry S. Truman becomes President upon Roosevelt's death.,1945,4/12,wikipedia/muffinlabs
"1945: World War II: The U.S. Ninth Army under General William H. Simpson crosses the Elbe River astride Magdeburg, and reaches Tangermünde—only 80 kilometres from Berlin.",1945,4/12,wikipedia/muffinlabs
1983: Harold Washington is elected as the first black mayor of Chicago.,1983,4/12,wikipedia/muffinlabs
"1990: Jim Gary's ""Twentieth Century Dinosaurs"" exhibition opens at the Smithsonian Institution National Museum of Natural History in Washington, D.C. He is the only sculptor ever invited to present a solo exhibition there.",1990,4/12,wikipedia/muffinlabs
"1999: United States President Bill Clinton is cited for contempt of court for giving ""intentionally false statements"" in a civil lawsuit; he is later fined and disbarred.",1999,4/12,wikipedia/muffinlabs
"1999: During the NATO bombing of Yugoslavia, an American McDonnell Douglas F-15E Strike Eagle shoots a passenger train, killing between 20 and 60 people.",1999,4/12,wikipedia/muffinlabs
"1613: Samuel Argall, having captured Pocahontas in Passapatanzy, Virginia, sets off with her to Jamestown with the intention of exchanging her for English prisoners held by her father.",1613,4/13,wikipedia/muffinlabs
"1777: American Revolutionary War: American forces are ambushed and defeated in the Battle of Bound Brook, New Jersey.",1777,4/13,wikipedia/muffinlabs
1849: Lajos Kossuth presents the Hungarian Declaration of Independence in a closed session of the National Assembly.,1849,4/13,wikipedia/muffinlabs
1861: American Civil War: Union forces surrender Fort Sumter to Confederate forces.,1861,4/13,wikipedia/muffinlabs
"1865: American Civil War: Raleigh, North Carolina is occupied by Union forces.",1865,4/13,wikipedia/muffinlabs
1870: The New York City Metropolitan Museum of Art is founded.,1870,4/13,wikipedia/muffinlabs
"1873: The Colfax massacre: More than 60 to 150 black men are murdered in Colfax, Louisiana, while surrendering to a mob of former Confederate soldiers and members of the Ku Klux Klan.",1873,4/13,wikipedia/muffinlabs
"1919: Jallianwala Bagh massacre: British Indian Army troops led by Brigadier-General Reginald Dyer kill approximately 379-1,000 unarmed demonstrators including men and women in Amritsar, India; and approximately 1,500 injured.",1919,4/13,wikipedia/muffinlabs
"1943: The Jefferson Memorial is dedicated in Washington, D.C., on the 200th anniversary of President Thomas Jefferson's birth.",1943,4/13,wikipedia/muffinlabs
"1960: The United States launches Transit 1-B, the world's first satellite navigation system.",1960,4/13,wikipedia/muffinlabs
"1964: At the Academy Awards, Sidney Poitier becomes the first African-American man to win the Best Actor award for the 1963 film Lilies of the Field.",1964,4/13,wikipedia/muffinlabs
"1970: At 10:08 PM EST an oxygen tank aboard the Apollo 13 Service Module explodes, putting the crew in great danger and causing major damage to the Apollo command and service module (codenamed ""Odyssey"") while en route to the Moon.",1970,4/13,wikipedia/muffinlabs
1972: Vietnam War: The Battle of An Lộc begins.,1972,4/13,wikipedia/muffinlabs
"1975: An attack by the Phalangist resistance kills 26 militia members of the Popular Front for the Liberation of Palestine, marking the start of the 15-year Lebanese Civil War.",1975,4/13,wikipedia/muffinlabs
1976: The United States Treasury Department reintroduces the two-dollar bill as a Federal Reserve Note on Thomas Jefferson's 233rd birthday as part of the United States Bicentennial celebration.,1976,4/13,wikipedia/muffinlabs
2006: The United Front for Democratic Change's attack on the Chadian capital of N'Djamena is repelled by the Chadian army,2006,4/13,wikipedia/muffinlabs
2013: Salam Fayyad resigns as Prime Minister of the Palestinian National Authority following an ongoing dispute with the President Mahmoud Abbas.,2013,4/13,wikipedia/muffinlabs
2023: The house of Jack Teixeira is raided in an investigation into leaked Pentagon documents; he is arrested on the same day.,2023,4/13,wikipedia/muffinlabs
"43 BC: Legions loyal to the Roman Senate, commanded by Gaius Pansa, defeat the forces of Mark Antony in the Battle of Forum Gallorum.",43 BC,4/14,wikipedia/muffinlabs
